feature,smd_before,smd_after_ipw,control_mean,treated_mean,abs_smd_before,abs_smd_after_ipw
CONTACT_PROPENSITY,0.7162084266250851,-0.00018121259560181292,0.09050782370804336,0.1721321635061956,0.7162084266250851,0.00018121259560181292
BASE_PD,0.6361155744061662,-0.0016088370626375285,0.06833058273226407,0.18612837590492382,0.6361155744061662,0.0016088370626375285
EXT_SOURCE_1,-0.427970375706194,0.0015117395013790214,0.5122532805197187,0.42119292283420806,0.427970375706194,0.0015117395013790214
EXT_SOURCE_3,-0.382877398047573,-0.0038392711689347937,0.5186338487624969,0.44207093888251875,0.382877398047573,0.0038392711689347937
AMT_CREDIT,0.3373218354892031,0.004036409344752411,584911.8649187144,727388.039375636,0.3373218354892031,0.004036409344752411
AMT_ANNUITY,0.3313553688235906,0.0027922377052270893,26608.854507849075,31653.60881483913,0.3313553688235906,0.0027922377052270893
EXT_SOURCE_2,-0.31042052722416924,-0.009595961617551703,0.5205767615533708,0.45822156275969844,0.31042052722416924,0.009595961617551703
SK_DPD_MAX_POS,0.217153836861959,0.0031728853947928714,9.89713052544426,68.68298319327731,0.217153836861959,0.0031728853947928714
DAYS_BIRTH,0.17663802502294632,0.005121275453803507,-16113.030539834253,-15345.484850474346,0.17663802502294632,0.005121275453803507
DAYS_CREDIT_MEAN,0.1311802302823177,0.0018284343878146518,-1090.483675537436,-1016.7362847769065,0.1311802302823177,0.0018284343878146518
DAYS_EMPLOYED,-0.11039389891388145,-0.011043650713063251,65299.75886128036,50312.21442405541,0.11039389891388145,0.011043650713063251
DAYS_REGISTRATION,0.09124394780020373,0.006512134023183541,-5017.500779798686,-4700.728490299708,0.09124394780020373,0.006512134023183541
DAYS_ID_PUBLISH,0.07869674603467079,0.009983121686027606,-3005.9928423955416,-2886.973082099596,0.07869674603467079,0.009983121686027606
AMT_INCOME_TOTAL,0.07122509955345979,0.005688333536784027,167450.63051779836,181050.93645537208,0.07122509955345979,0.005688333536784027
REGION_RATING_CLIENT,0.06506567567736138,0.0030136116279858897,2.0491322803268748,2.0827561303876836,0.06506567567736138,0.0030136116279858897
DAYS_LAST_PHONE_CHANGE,0.06364144834845244,0.002408601551661028,-968.0427400404985,-915.713127400453,0.06364144834845244,0.002408601551661028
