group,n,mean,std,q01,q05,q25,q50,q75,q95,q99
control,277048,0.09050782370804336,0.07218305796583264,0.015669942105903896,0.02423596417561009,0.0459500637662123,0.07194305051133545,0.1099529752447321,0.22165750758158248,0.3891431192846132
contacted,30463,0.1721321635061956,0.14410897643957107,0.02525874796385074,0.03915650650734764,0.07718826984881835,0.1207092986207124,0.21076762063673896,0.5136548229200271,0.6555848008111214
